127.0.0.1, 2010-10-19 22:52:58, GET, /, HTTP/1.1, 303, 0.001294
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.777309
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000757
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.002499
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.000926
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.000929
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.001329
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.001553
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.000745
127.0.0.1, 2010-10-19 22:52:59, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.000604
127.0.0.1, 2010-10-19 22:53:03, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.137670
127.0.0.1, 2010-10-19 22:53:03, GET, /admin/default/index, HTTP/1.1, 200, 0.024659
127.0.0.1, 2010-10-19 22:53:03, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000560
127.0.0.1, 2010-10-19 22:53:03, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.001743
127.0.0.1, 2010-10-19 22:53:03, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.001326
127.0.0.1, 2010-10-19 22:53:03, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.001023
127.0.0.1, 2010-10-19 22:53:03, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000596
127.0.0.1, 2010-10-19 22:53:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001139
127.0.0.1, 2010-10-19 22:53:04, POST, /admin/default/index, HTTP/1.1, 303, 0.027547
127.0.0.1, 2010-10-19 22:53:05, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.068540
127.0.0.1, 2010-10-19 22:53:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000444
127.0.0.1, 2010-10-19 22:53:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000770
127.0.0.1, 2010-10-19 22:53:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000678
